=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-3-5_17-17-1
====================================================================================
17:17:1 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
17:17:1 | [PermissionManager] Perm (TeleportToCrosshair) has been registered!
17:17:1 | [PermissionManager] Perm (FreeCamera) has been registered!
17:17:1 | [PermissionManager] Perm (RepairVehiclesAtCrosshair) has been registered!
17:17:1 | [PermissionManager] Perm (MenuItemManager) has been registered!
17:17:1 | [PermissionManager] Perm (MenuItemManager:SpawnItem) has been registered!
17:17:1 | [PermissionManager] Perm (MenuItemManager:EditPreset) has been registered!
17:17:1 | [PermissionManager] Perm (MenuItemManager:SpawnPreset) has been registered!
17:17:1 | [PermissionManager] Perm (MenuItemManager:DeletePreset) has been registered!
17:17:1 | [PermissionManager] Perm (MenuItemManager:AddPreset) has been registered!
17:17:1 | [PermissionManager] Perm (MenuServerManager) has been registered!
17:17:1 | [PermissionManager] Perm (ServerManager:RestartServer) has been registered!
17:17:1 | [PermissionManager] Perm (ServerManager:LockServer) has been registered!
17:17:1 | [PermissionManager] Perm (ServerManager:KickAllPlayers) has been registered!
17:17:1 | [PermissionManager] Perm (ServerManager:LoadScripts) has been registered!
17:17:1 | [PermissionManager] Perm (MenuWeatherManager) has been registered!
17:17:1 | [PermissionManager] Perm (WeatherManager:ApplyWeather) has been registered!
17:17:1 | [PermissionManager] Perm (WeatherManager:ApplyTime) has been registered!
17:17:1 | [PermissionManager] Perm (WeatherManager:SavePreset) has been registered!
17:17:1 | [PermissionManager] Perm (WeatherManager:DeletePreset) has been registered!
17:17:1 | [PermissionManager] Perm (WeatherManager:ApplyPreset) has been registered!
17:17:1 | [PermissionManager] Perm (WeatherManager:ApplyTimePreset) has been registered!
17:17:1 | [PermissionManager] Perm (WeatherManager:SaveTimePreset) has been registered!
17:17:1 | [PermissionManager] Perm (WeatherManager:DeleteTimePreset) has been registered!
17:17:1 | [PermissionManager] Perm (MenuObjectManager) has been registered!
17:17:1 | [PermissionManager] Perm (MenuObjectManager:CreateNewSet) has been registered!
17:17:1 | [PermissionManager] Perm (MenuObjectManager:UpdateSet) has been registered!
17:17:1 | [PermissionManager] Perm (MenuObjectManager:DeleteSet) has been registered!
17:17:1 | [PermissionManager] Perm (MenuObjectManager:EditSet) has been registered!
17:17:1 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
17:17:1 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
17:17:1 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
17:17:1 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
17:17:1 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
17:17:1 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
17:17:1 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
17:17:1 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
17:17:1 | [PermissionManager] Perm (MenuBansManager) has been registered!
17:17:1 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
17:17:1 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
17:17:1 | [PermissionManager] Perm (MenuWebHooks) has been registered!
17:17:1 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
17:17:1 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
17:17:1 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
17:17:1 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
17:17:1 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
17:17:1 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
17:17:1 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
17:17:1 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
17:17:1 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
17:17:1 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
17:17:1 | [PermissionManager] Perm (EspToolsMenu) has been registered!
17:17:1 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
17:17:1 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
17:17:1 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
17:17:1 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
17:17:1 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
17:17:1 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
17:17:1 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
17:17:1 | [PermissionManager] Adding Super Admin (76561197962686368)
17:17:1 | [PermissionManager] Adding Super Admin (76561197968549981)
17:17:1 | [PermissionManager] Adding Super Admin (76561198894531417)
17:17:1 | [PermissionManager] Loaded UserGroups.json
17:17:1 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
17:17:1 | Building Sets Loaded: 0
17:17:1 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
17:17:1 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
17:17:1 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
17:17:1 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
17:18:4 | Player "Brew" (steamId=76561197962686368) connected to server!
17:18:37 | Player "Brew" (steamId=76561197962686368) connected to server!
17:19:19 | "Brew" (steamid=76561197962686368) gave godmode to (steamid=76561197962686368)
17:20:4 | "Brew": (steamid=76561197962686368) teleported to (pos=2583.48,0,5250.03)
17:21:19 | "Brew": (steamid=76561197962686368) teleported to (pos=2823.68,0,5772.45)
17:22:1 | "Brew": (steamid=76561197962686368) teleported to (pos=3494.22,0,5436.19)
17:22:32 | "Brew": (steamid=76561197962686368) teleported to (pos=7892.2,0,2296.58)
17:23:2 | "Brew" (steamid=76561197962686368) toggled freecam
17:23:2 | "Brew" (steamid=76561197962686368) toggled freecam
17:23:2 | "Brew" (steamid=76561197962686368) toggled freecam
17:23:3 | "Brew" (steamid=76561197962686368) toggled freecam
17:23:3 | "Brew" (steamid=76561197962686368) toggled freecam
17:23:3 | "Brew" (steamid=76561197962686368) toggled freecam
17:23:3 | "Brew" (steamid=76561197962686368) toggled freecam
17:23:3 | "Brew" (steamid=76561197962686368) toggled freecam
17:24:28 | "Brew": (steamid=76561197962686368) teleported to (pos=3814.84,0,2744.95)
17:26:15 | "Brew": (steamid=76561197962686368) teleported to (pos=8412.22,0,7349.9)
17:27:41 | "Brew": (steamid=76561197962686368) teleported to (pos=1175.56,0,8777.24)
17:28:16 | "Brew" (steamid=76561197962686368) toggled freecam
17:28:16 | "Brew" (steamid=76561197962686368) toggled freecam
17:28:16 | "Brew" (steamid=76561197962686368) toggled freecam
17:28:17 | "Brew" (steamid=76561197962686368) toggled freecam
17:28:17 | "Brew" (steamid=76561197962686368) toggled freecam
17:28:17 | "Brew" (steamid=76561197962686368) toggled freecam
17:28:17 | "Brew" (steamid=76561197962686368) toggled freecam
17:28:18 | "Brew" (steamid=76561197962686368) toggled freecam
17:31:43 | "Brew": (steamid=76561197962686368) teleported to (pos=4230.94,0,2190.74)
17:32:4 | "Brew": (steamid=76561197962686368) teleported to (pos=4091.18,0,2345.13)
17:32:44 | "Brew" (steamid=76561197962686368) teleported to crosshair (pos=<3605.437744, 92.709007, 2357.800049>)
